20210508_185916_793,,
20210513_162707_778,,
20210513_162746_962,,
20210513_162827_342,,
20210513_170542_464,,
20210513_171536_151,,
20210513_171652_195,,
20210513_171748_832,,
20210514_113256_772,,
20210514_143939_065,,
20210514_145057_839,,
20210514_152006_828,,
20210514_152147_502,,
20210514_152250_502,,
20210514_160443_627,,
20210514_160547_118,,
20210514_160603_753,,
20210514_164232_793,,
20210514_164559_162,,
20210514_164914_942,,
20210514_165012_593,,
20210524_200549_323,Just Dirt,
20210524_200733_706,Just Dirt,
20210524_200849_554,Just Dirt,
20210524_204636_618,Just Dirt,
20210524_204742_650,Just Dirt,
20210524_204847_649,Just Dirt,
20210524_204926_798,Just Dirt,
20210524_204957_043,Just Dirt,
20210524_221845_064,Helux,
20210524_222128_235,Just Dirt,
20210524_222134_232,Just Dirt,
20210524_222142_229,Just Dirt,
20210524_222145_235,Just Dirt,
20210524_222242_657,Just Dirt,
20210525_130806_773,Just Dirt,
20210525_131953_945,Just Dirt,
20210525_132545_087,Hand Wave,
20210525_150619_371,BTR,
20210525_150820_238,BTR,
20210525_151125_477,Just Dirt,
20210525_171143_194,Just Dirt,
20210525_171303_650,Just Dirt,
20210525_171329_996,Just Dirt,
20210525_171357_132,T72 Tarp,Blurry
20210525_171503_596,Just Dirt,
20210525_171547_154,T72 Tarp,Blurry
20210526_125603_109,T72 Blurry,Blurry
20210526_140611_321,T72 Good,
20210526_141002_689,Just Dirt,
20210526_150803_631,Just Dirt,
20210526_161836_139,Helux Good,
20210526_165716_569,Helux Good,
20210527_125645_991,Parking Area,5582 boson and 0 Flir
20210527_125904_712,Parking Area,13802 boson and 0 Flir
20210527_130401_907,Parking Area,2542 boson and 0 Flir
20210527_130505_641,Parking Area,6302 boson and 0 Flir
20210527_131952_331,Zero,
20210527_132106_105,Just Dirt,
20210527_132419_099,Parking Area,Good
20210527_142803_765,Zero,
20210527_144120_152,Zero,
20210527_144323_600,T72 Hot,
20210527_145709_561,Zero,
20210527_145925_466,BTR Hot,
20210527_150821_971,T72 Hot,
20210527_151915_262,Zero,
20210527_152618_592,Just Dirt,Route Brown
20210527_153038_822,,
20210527_155236_980,,
20210527_155437_989,,
